datetime,price,cash
2010-05-21T00:00:00.000000,1,1
2010-06-24T00:00:00.000000,1.006349206,0.973965071
2010-12-13T00:00:00.000000,1.163408521,1.090308487
2011-03-17T00:00:00.000000,1.116457811,1.059700554
2011-09-14T00:00:00.000000,1.338345865,1.238972623
2012-03-08T00:00:00.000000,1.517794486,1.377074184
2012-04-10T00:00:00.000000,1.528822055,1.379788522
2012-07-25T00:00:00.000000,1.388972431,1.356936234
2012-08-07T00:00:00.000000,1.404177109,1.350508303
2012-10-22T00:00:00.000000,1.406349206,1.342850371
2013-05-28T00:00:00.000000,1.637259816,1.54879835
2013-07-22T00:00:00.000000,1.59047619,1.514122573
2013-08-07T00:00:00.000000,1.60267335,1.500822953
2013-10-02T00:00:00.000000,1.565580618,1.471610619
2013-12-11T00:00:00.000000,1.578279031,1.472078143
2014-01-07T00:00:00.000000,1.596825397,1.473311427
